dates,#calls,weekday,day,month
2019-09-28,18405,5,28,9
2019-09-29,17726,6,29,9
2019-09-30,17258,0,30,9
2019-10-01,18943,1,1,10
2019-10-02,19579,2,2,10
2019-10-03,18239,3,3,10
2019-10-04,17607,4,4,10
2019-10-05,18028,5,5,10
2019-10-06,16965,6,6,10
2019-10-07,18029,0,7,10
2019-10-08,18282,1,8,10
2019-10-09,18316,2,9,10
2019-10-10,18888,3,10,10
2019-10-11,18963,4,11,10
2019-10-12,18430,5,12,10
2019-10-13,17640,6,13,10
2019-10-14,16571,0,14,10
2019-10-15,18015,1,15,10
2019-10-16,18600,2,16,10
2019-10-17,19625,3,17,10
2019-10-18,18836,4,18,10
2019-10-19,18131,5,19,10
2019-10-20,16907,6,20,10
2019-10-21,17600,0,21,10
2019-10-22,18369,1,22,10
2019-10-23,18707,2,23,10
2019-10-24,18655,3,24,10
2019-10-25,18461,4,25,10
2019-10-26,17861,5,26,10
2019-10-27,17164,6,27,10
2019-10-28,17245,0,28,10
2019-10-29,17958,1,29,10
2019-10-30,18579,2,30,10
2019-10-31,19331,3,31,10
2019-11-01,19494,4,1,11
2019-11-02,17654,5,2,11
2019-11-03,16914,6,3,11
2019-11-04,17060,0,4,11
2019-11-05,17268,1,5,11
2019-11-06,18766,2,6,11
2019-11-07,18357,3,7,11
2019-11-08,18317,4,8,11
2019-11-09,17587,5,9,11
2019-11-10,16717,6,10,11
2019-11-11,16191,0,11,11
2019-11-12,17358,1,12,11
2019-11-13,18259,2,13,11
2019-11-14,18200,3,14,11
2019-11-15,18516,4,15,11
2019-11-16,17841,5,16,11
2019-11-17,16831,6,17,11
2019-11-18,17179,0,18,11
2019-11-19,17975,1,19,11
2019-11-20,18680,2,20,11
2019-11-21,18764,3,21,11
2019-11-22,18142,4,22,11
2019-11-23,17946,5,23,11
2019-11-24,16743,6,24,11
2019-11-25,17624,0,25,11
2019-11-26,18884,1,26,11
2019-11-27,18739,2,27,11
2019-11-28,15047,3,28,11
2019-11-29,16751,4,29,11
2019-11-30,17114,5,30,11
2019-12-01,16185,6,1,12
2019-12-02,16525,0,2,12
2019-12-03,17898,1,3,12
2019-12-04,18110,2,4,12
2019-12-05,18158,3,5,12
2019-12-06,18053,4,6,12
2019-12-07,17528,5,7,12
2019-12-08,16818,6,8,12
2019-12-09,16900,0,9,12
2019-12-10,18088,1,10,12
2019-12-11,18780,2,11,12
2019-12-12,18692,3,12,12
2019-12-13,18349,4,13,12
2019-12-14,18518,5,14,12
2019-12-15,17747,6,15,12
2019-12-16,17695,0,16,12
2019-12-17,17609,1,17,12
2019-12-18,18282,2,18,12
2019-12-19,17880,3,19,12
2019-12-20,18097,4,20,12
2019-12-21,17761,5,21,12
2019-12-22,17126,6,22,12
2019-12-23,17449,0,23,12
2019-12-24,16986,1,24,12
2019-12-25,14519,2,25,12
2019-12-26,17430,3,26,12
2019-12-27,16997,4,27,12
2019-12-28,17427,5,28,12
2019-12-29,16742,6,29,12
2019-12-30,17267,0,30,12
2019-12-31,17838,1,31,12
2020-01-01,18929,2,1,1
2020-01-02,19222,3,2,1
2020-01-03,18752,4,3,1
2020-01-04,18282,5,4,1
2020-01-05,17629,6,5,1
2020-01-06,17573,0,6,1
2020-01-07,19148,1,7,1
2020-01-08,19354,2,8,1
2020-01-09,18995,3,9,1
2020-01-10,19381,4,10,1
2020-01-11,18942,5,11,1
2020-01-12,18711,6,12,1
2020-01-13,18207,0,13,1
2020-01-14,19324,1,14,1
2020-01-15,20156,2,15,1
2020-01-16,20244,3,16,1
2020-01-17,19667,4,17,1
2020-01-18,18216,5,18,1
2020-01-19,18579,6,19,1
2020-01-20,18246,0,20,1
